OFFICE OF THE SPEAKER,OFFICE OF THE SPEAKER
OFFICE OF THE MAJORITY LEADER,OFFICE OF THE MAJORITY LEADER
OFFICE OF THE MINORITY LEADER,OFFICE OF THE MINORITY LEADER
OFFICE OF THE MAJORITY WHIP,OFFICE OF THE MAJORITY WHIP
OFFICE OF THE MINORITY WHIP,OFFICE OF THE MINORITY WHIP
DEMOCRATIC CAUCUS,DEMOCRATIC CAUCUS
REPUBLICAN CONFERENCE,REPUBLICAN CONFERENCE
CHIEF ADMIN OFCR OF THE HOUSE,CHIEF ADMIN OFCR OF THE HOUSE
CLERK OF THE HOUSE,CLERK OF THE HOUSE
OFFICE OF GENERAL COUNSEL,OFFICE OF GENERAL COUNSEL
SERGEANT AT ARMS,SERGEANT AT ARMS
OFFICE OF THE PARLIAMENTARIAN,OFFICE OF THE PARLIAMENTARIAN
COMPILATION OF PRECEDENTS,COMPILATION OF PRECEDENTS
TECHNICAL ASSISTANTS,TECHNICAL ASSISTANTS
OFFICE OF INSPECTOR GENERAL,OFFICE OF INSPECTOR GENERAL
LAW REVISION COUNSEL,LAW REVISION COUNSEL
LEGISLATIVE COUNSEL,LEGISLATIVE COUNSEL
INTERPARLIAMENTARY AFFAIRS,INTERPARLIAMENTARY AFFAIRS
COMMITTEE ON APPROPRIATIONS,COMMITTEE ON APPROPRIATIONS
COMMITTEE ON BUDGET,COMMITTEE ON BUDGET
COMMITTEE ON AGRICULTURE,COMMITTEE ON AGRICULTURE
ARMED SERVICES COMMITTEE,ARMED SERVICES COMMITTEE
COMMITTEE ON FINANCIAL SERVICE,COMMITTEE ON FINANCIAL SERVICE
COMM ON EDUCATION & WORKFORCE,COMM ON EDUCATION & WORKFORCE
COMMITTEE ON ENERGY & COMMERCE,COMMITTEE ON ENERGY & COMMERCE
COMM ON OVRSIGHT & GOVT REFORM,COMM ON OVRSIGHT & GOVT REFORM
HOUSE ADMINISTRATION,HOUSE ADMINISTRATION
COMMITTEE ON NATURAL RESOURCES,COMMITTEE ON NATURAL RESOURCES
COMMITTEE ON FOREIGN AFFAIRS,COMMITTEE ON FOREIGN AFFAIRS
COMMITTEE ON BENGHAZI,COMMITTEE ON BENGHAZI
COMMITTEE ON JUDICIARY,COMMITTEE ON JUDICIARY
TRANSPORTATION-INFRASTRUCTURE,TRANSPORTATION-INFRASTRUCTURE
COMMITTEE ON RULES,COMMITTEE ON RULES
"COMM ON SCIENCE, SPACE & TECH","COMM ON SCIENCE, SPACE & TECH"
COMMITTEE ON SMALL BUSINESS,COMMITTEE ON SMALL BUSINESS
COMMITTEE ON ETHICS,COMMITTEE ON ETHICS
VETERANS' AFFAIRS,VETERANS' AFFAIRS
COMMITTEE ON WAYS AND MEANS,COMMITTEE ON WAYS AND MEANS
INTELLIGENCE,INTELLIGENCE
HOMELAND SECURITY,HOMELAND SECURITY
GENERAL ADMIN - SPEC & SELECT,GENERAL ADMIN - SPEC & SELECT
HOUSE CHILD CARE CENTER,HOUSE CHILD CARE CENTER
JOINT COMMMITTEE ON TAXATION,JOINT COMMMITTEE ON TAXATION
OFFICE OF CONGRESSIONAL ETHICS,OFFICE OF CONGRESSIONAL ETHICS
